bmi_group_clean,n,hypertension_n,hypertension_rate,se,ci_low,ci_high,hypertension_rate_pct,ci_low_pct,ci_high_pct
Normal,1319,245,0.18574677786201668,0.010708237367453953,0.16475863262180693,0.20673492310222644,18.6,16.5,20.7
Underweight,92,17,0.18478260869565216,0.04046442294315621,0.10547233972706599,0.26409287766423833,18.5,10.5,26.4
Overweight,1633,397,0.24311083894672383,0.010615127420291125,0.22230518920295322,0.26391648869049444,24.3,22.2,26.4
Obesity,2132,550,0.2579737335834897,0.009475535953013427,0.23940168311558335,0.276545784051396,25.8,23.9,27.7
